Description,Loss or Gain
RASGRP4_DEL,Gain
HRASLS5_DEL,Loss
DIRAS1_DEL,Gain
RASGEF1B_DEL,Gain
RASEF_DEL,Gain
RASSF6_DEL,Gain
RASGEF1A_DEL,Gain
RRAS2_DEL,Gain
MRAS_DEL,Gain
RASA3_DEL,Gain
RASD2_DEL,Gain
RASGEF1C_DEL,Gain
RASGRP3_DEL,Gain
RASSF3_DEL,Gain
NKIRAS2_DEL,Gain
NKIRAS1_DEL,Gain
HRAS_DEL,Gain
ERAS_DEL,Gain
KRAS_DEL,Gain
RASL11A_DEL,Gain
RASA4CP_DEL,Gain
NRAS_DEL,Gain
RASL12_DEL,Gain
RASD1_DEL,Gain
DIRAS2_DEL,Gain
RASIP1_DEL,Gain
HRASLS2_DEL,Loss
HRASLS_DEL,Loss
RASA1_DEL,Gain
RASA2_DEL,Gain
RASGRF1_DEL,Gain
RASGRF2_DEL,Gain
RRAS_DEL,Gain
RASSF10_DEL,Gain
RASAL3_DEL,Gain
RASL11B_DEL,Gain
RASSF7_DEL,Gain
RASSF5_DEL,Gain
RASSF4_DEL,Gain
RASAL1_DEL,Gain
DIRAS3_DEL,Gain
RASL10B_DEL,Gain
RASSF9_DEL,Gain
RASAL2_DEL,Gain
RASSF2_DEL,Gain
NRAS.MC_MUT,Gain
KRAS.G12_13_MUT,Gain
PTEN_MUT,Gain
PTENP1_AMP,Gain
PTEN_AMP,Gain
PTENP1_DEL,Gain
PTEN_DEL,Gain
PDK1_MUT,Gain
PDK1_AMP,Gain
PDK1_DEL,Gain
NFKB1_MUT,Gain
NFKB2_MUT,Gain
NFKBIA_MUT,Loss
NFKB1_AMP,Gain
NFKB2_AMP,Gain
NFKBIA_AMP,Loss
NFKBIB_AMP,Loss
NFKBIE_AMP,Loss
NFKBIL1_AMP,Loss
NFKBIZ_AMP,Loss
NFKBID_AMP,Loss
NFKB1_DEL,Gain
NFKB2_DEL,Gain
NFKBIA_DEL,Loss
NFKBIB_DEL,Loss
NFKBIE_DEL,Loss
NFKBIL1_DEL,Loss
NFKBIZ_DEL,Loss
NFKBID_DEL,Loss
ARAF_MUT,Gain
RAF1_MUT,Gain
BRAF_MUT,Gain
ARAF_AMP,Gain
RAF1_AMP,Gain
BRAF_AMP,Gain
ARAF_DEL,Gain
RAF1_DEL,Gain
BRAF_DEL,Gain
BRAF.MC_MUT,Gain
BRAF.V600E_MUT,Gain
AKT3_MUT,Gain
AKT1_MUT,Gain
AKT2_MUT,Gain
AKT3_AMP,Gain
AKT1_AMP,Gain
AKT2_AMP,Gain
AKTIP_AMP,Gain
AKT1S1_AMP,Gain
AKT3_DEL,Gain
AKT1_DEL,Gain
AKT2_DEL,Gain
AKTIP_DEL,Gain
AKT1S1_DEL,Gain
WNT1_MUT,Gain
WNT16_AMP,Gain
WNT4_AMP,Gain
WNT1_AMP,Gain
WNT2_AMP,Gain
WNT3_AMP,Gain
WNT5A_AMP,Gain
WNT6_AMP,Gain
WNT7A_AMP,Gain
WNT7B_AMP,Gain
